"municipality","mun_name","region_name","n_people","age_0_17","age_18_29","age_30_39","age_40_49","age_50_59","age_60_69","age_70_older","danes","immig","unemployed","retired","church_member","not_church_member","n_households","income_100000_149999","income_150000_199999","income_200000_299999","income_300000_399999","income_400000_499999","income_500000_749999","income_over_750000","households_with_car"
101,"København","Hovedstaden",632340,110822,165847,118137,82048,65903,44843,44740,525305,107035,40412,78597,298180,334160,298992,10351,19578,51639,39190,35830,59939,82465,118859
147,"Frederiksberg","Hovedstaden",104305,18332,21583,16176,13690,11905,9093,13526,91422,12883,5378,19816,41366,62939,51427,1289,2500,8628,6562,5777,10325,16346,24269
151,"Ballerup","Hovedstaden",48602,10362,6382,5508,6596,7039,4904,7811,44064,4538,1747,12220,16400,32202,22560,375,802,4566,3417,2569,4018,6813,14939
153,"Brøndby","Hovedstaden",35090,7316,4915,4502,4515,4885,3981,4976,29778,5312,1628,8367,16265,18825,15399,276,629,3308,2392,1850,2899,4045,9934
155,"Dragør","Hovedstaden",14494,3296,1105,1299,2181,2208,1786,2619,13589,905,405,3667,3221,11273,6035,37,164,772,682,576,1025,2779,4884
157,"Gentofte","Hovedstaden",74830,16732,9006,7176,10784,11408,8249,11475,65815,9015,2400,15431,24449,50381,32285,530,1110,4241,3534,2744,5323,14803,23209
159,"Gladsaxe","Hovedstaden",69262,15422,10724,8998,9491,9205,7018,8404,60066,9196,2565,13565,26765,42497,30951,695,1233,5713,4171,3430,5545,10164,20003
161,"Glostrup","Hovedstaden",23128,4657,3445,3096,3204,3171,2313,3242,20398,2730,964,5065,7946,15182,10905,174,464,2133,1653,1356,1957,3168,7042
163,"Herlev","Hovedstaden",28953,6455,3936,3521,3873,3895,3335,3938,26149,2804,1009,6574,10428,18525,13207,256,571,2406,1975,1493,2517,3989,8731
165,"Albertslund","Hovedstaden",27731,5965,4805,3243,3665,3701,2577,3775,23815,3916,1237,6167,12881,14850,11838,352,575,2329,1711,1379,2294,3198,7556
167,"Hvidovre","Hovedstaden",53527,11823,8022,7077,7473,6991,5440,6701,47701,5826,2234,11137,19558,33969,23488,440,1027,4317,3279,2721,4298,7406,15173
169,"Høje-Taastrup","Hovedstaden",50759,10943,7512,6702,7210,6799,4990,6603,41923,8836,2281,10851,21521,29238,21843,285,874,3682,3101,2651,4403,6847,15207
173,"Lyngby-Tårbæk","Hovedstaden",56214,11991,8699,5844,7590,7758,6168,8164,50380,5834,1899,11672,17831,38383,25651,702,1141,4023,3218,2523,4337,9707,16961
175,"Rødovre","Hovedstaden",40652,8758,5891,5538,5417,5397,4261,5390,36227,4425,1766,8660,15044,25608,18704,299,772,3774,2755,2221,3347,5536,11783
183,"Ishøj","Hovedstaden",22989,5090,3693,3205,3052,3065,2168,2716,18007,4982,1307,4745,12627,10362,9549,160,357,1825,1441,1122,2064,2580,6312
185,"Tårnby","Hovedstaden",42989,9568,5002,5196,6378,6133,4871,5841,39468,3521,1599,9328,12276,30713,18635,254,716,3277,2408,2067,3257,6656,12809
187,"Vallensbæk","Hovedstaden",16633,4005,2138,2309,2335,1981,1494,2371,14135,2498,680,3313,6895,9738,6546,80,164,776,740,709,1353,2724,5204
190,"Furesø","Hovedstaden",40965,9660,3984,4257,5779,6079,4490,6716,36752,4213,1284,9514,13887,27078,17133,146,432,2300,1839,1614,3069,7733,13376
201,"Allerød","Hovedstaden",25633,6156,2337,2542,3711,4095,2746,4046,24120,1513,703,5571,6237,19396,10530,68,235,1163,1087,963,1823,5191,8736
210,"Fredensborg","Hovedstaden",40865,8730,4223,4028,5538,6278,5190,6878,36172,4693,1371,10537,13580,27285,17765,170,513,2675,2249,1948,3459,6751,13723
217,"Helsingør","Hovedstaden",62695,12221,7208,5663,8149,10101,8009,11344,57925,4770,2092,17281,18275,44420,29239,377,1056,5698,4136,3296,5274,9402,20412
219,"Hillerød","Hovedstaden",51161,11189,6839,5538,7106,7855,5433,7201,47147,4014,1624,11103,13674,37487,22261,316,612,3326,2817,2425,4102,8663,16886
223,"Hørsholm","Hovedstaden",24864,5151,2251,1900,3308,3746,3060,5448,23109,1755,637,7015,5941,18923,11358,120,305,1718,1338,1046,1903,4928,9008
230,"Rudersdal","Hovedstaden",56728,12843,6287,4945,7715,8498,6381,10059,51686,5042,1522,13309,16072,40656,24452,338,685,3255,2671,2163,3863,11477,18989
240,"Egedal","Hovedstaden",43354,10265,4439,4578,6805,6855,4237,6175,40730,2624,1406,8923,10190,33164,17433,109,402,1901,1805,1623,3271,8322,14803
250,"Frederikssund","Hovedstaden",45223,8956,4909,4044,6140,7429,5819,7926,42783,2440,1452,12276,9671,35552,20082,197,694,3433,2828,2140,3648,7142,15957
253,"Greve","Sjælland-Syddanmark",50558,11100,5585,5448,7204,7684,5466,8071,46036,4522,1767,12303,14220,36338,21142,210,558,3227,2663,2261,3795,8428,16824
259,"Køge","Sjælland-Syddanmark",60979,12695,8128,6496,8692,9283,6450,9235,56288,4691,2302,14661,14887,46092,26793,273,882,4653,3620,3017,5056,9292,20114
260,"Frederiksværk-Hundested","Hovedstaden",31384,5595,3408,2874,4073,4882,4619,5933,28906,2478,1083,9479,7536,23848,14147,122,565,2789,2019,1566,2714,4372,11071
265,"Roskilde","Sjælland-Syddanmark",87914,18370,12878,9058,12176,13078,9547,12807,81888,6026,3266,19382,22413,65501,39570,882,1741,6250,5081,4096,6864,14656,28522
269,"Solrød","Sjælland-Syddanmark",23255,5527,2474,2557,3518,3356,2439,3384,21913,1342,703,5084,4760,18495,9716,64,286,1240,1091,971,1783,4281,7958
