pollingarea_id;eligible;voted;valid;A;B;C;SF;I;K;O;V;OE;Alt;D;other
101001;11147;9903;9787;1556;1862;581;1101;316;75;235;1752;1454;569;118;162
101002;5915;5096;5053;761;911;422;512;153;41;194;1033;601;240;78;104
101003;11045;9941;9888;1473;1930;557;1269;229;84;187;1580;1609;706;115;141
101005;10707;8961;8877;1670;1420;455;1019;234;104;374;1252;1419;580;149;193
101006;9618;8065;7981;1422;1443;424;920;229;52;315;1235;1095;533;108;195
101007;9660;7664;7554;1676;1121;293;911;154;51;501;925;1160;406;114;233
101008;12838;10435;10336;1839;1719;352;1330;268;71;412;1284;1927;730;117;270
101009;9644;7940;7853;1215;1380;408;802;418;49;272;1462;993;530;120;196
101010;10332;9197;9127;1313;1639;552;1064;360;38;252;1837;1217;553;140;151
101011;14032;10851;10784;1176;2239;680;1197;349;40;174;1759;1938;870;129;220
101012;6359;5748;5696;718;1177;425;592;183;38;113;1074;865;340;69;100
101013;9558;8400;8331;1137;1438;360;1022;181;46;170;1076;1944;715;71;162
101014;11722;10170;10061;1212;1775;896;952;439;57;197;2249;1331;580;153;215
101016;9848;8078;8003;1486;1125;316;952;272;38;420;1226;1293;510;134;219
101017;14432;11853;11710;2163;1750;410;1372;279;99;516;1522;2205;870;169;339
101018;8151;6828;6760;1450;868;263;898;136;66;377;1010;1008;381;81;215
101019;8909;7646;7565;1509;1196;370;885;207;87;366;1308;929;426;96;183
101020;6532;5461;5404;815;857;101;709;52;29;122;376;1635;562;43;99
101021;9923;8527;8457;985;1698;204;1126;177;36;160;862;2184;814;48;149
101022;5932;5058;5003;552;978;147;588;57;32;86;393;1609;427;42;88
101023;6756;5982;5928;647;1203;188;773;125;22;76;656;1515;572;54;93
101024;6960;6094;6051;813;1024;105;918;91;30;125;499;1737;550;50;104
101025;10045;8688;8611;874;1630;166;1116;133;30;186;671;2608;968;69;153
101027;10466;8507;8423;1238;1405;217;988;170;85;294;820;2162;723;132;182
101028;7294;5829;5762;1172;819;221;761;80;72;331;576;1087;382;86;168
101029;4011;3189;3164;762;400;107;343;60;26;196;329;591;181;57;102
101030;9435;7738;7648;1097;1179;166;1004;161;63;213;683;2068;699;105;198
101031;3844;3358;3320;666;483;199;453;80;18;173;439;472;200;61;72
101032;2483;1666;1634;339;428;19;112;15;10;106;70;363;123;13;35
101033;7201;6166;6102;1204;895;268;824;120;65;329;825;937;407;102;122
101034;8105;6980;6932;1386;1111;255;967;114;58;347;712;1263;450;115;147
101035;6104;4663;4581;997;756;169;542;70;32;307;487;802;217;70;123
101036;7939;6687;6629;1573;907;299;843;77;59;522;778;932;337;120;179
101039;4584;3916;3874;808;534;200;487;101;44;168;625;541;217;61;86
101040;5136;4543;4503;792;682;262;649;119;66;213;645;659;237;71;103
101041;10049;8568;8461;1812;1193;446;1072;229;78;414;1267;1200;389;142;211
101042;8020;6852;6773;1336;1074;320;890;187;62;276;960;1023;373;111;158
101043;8847;7574;7485;1390;1102;333;917;196;60;347;1175;1169;481;127;178
101044;5960;4789;4733;1084;740;185;494;136;44;253;679;645;244;76;144
101046;4810;3774;3722;857;562;135;411;64;52;269;460;538;187;55;127
101047;4494;3676;3610;719;552;109;442;72;21;184;416;718;245;48;81
101048;7245;6212;6130;1105;902;260;817;188;41;244;986;955;359;95;172
101049;7018;6279;6240;801;1150;157;923;92;23;125;546;1620;643;51;105
101050;8069;7026;6980;860;1381;237;945;156;19;131;762;1628;648;62;146
101051;8579;6633;6536;1371;693;143;689;122;41;395;513;1671;508;128;255
101052;6258;5531;5492;669;1059;203;748;132;24;100;666;1219;541;55;69
101053;5975;5277;5246;696;1069;206;695;114;20;104;564;1168;457;50;101
101054;3084;2527;2496;428;344;71;306;59;21;106;246;576;229;35;71
101055;8313;7285;7225;858;1449;480;589;485;36;115;1872;638;427;106;166
101056;7215;6398;6364;778;1190;590;556;306;36;127;1631;630;328;68;123
101057;7458;6410;6353;1172;1066;226;820;126;52;321;787;1093;468;80;142
101058;9724;8111;8051;927;1686;160;1015;141;44;173;614;2262;821;65;136
101059;5395;4076;4021;688;700;116;467;57;54;194;292;971;323;57;99
147001;8265;7361;7310;990;1553;686;839;209;55;213;1221;920;434;80;109
147002;8479;7667;7613;1089;1379;839;824;231;55;217;1503;856;391;114;111
147003;10700;9597;9544;1407;1839;778;1089;266;52;306;1692;1280;546;120;164
147004;10117;8992;8932;1338;1725;841;929;229;63;319;1637;1103;475;121;148
147005;10090;8550;8472;1522;1310;750;872;267;75;389;1453;1072;418;128;196
147006;9012;7731;7687;1401;1123;860;736;197;82;430;1417;877;314;108;139
147007;9818;8375;8296;1329;1391;896;797;246;64;319;1551;1003;368;139;185
147008;7958;7153;7107;1109;1260;570;789;252;42;210;1341;908;374;96;152
151001;4145;3386;3343;1341;226;133;258;65;28;429;383;218;48;99;115
151002;6055;4790;4718;1730;276;199;463;88;30;549;620;375;103;109;176
151003;2638;2339;2318;753;146;154;210;69;22;222;437;137;45;59;64
151004;2920;2320;2289;865;141;75;222;41;20;310;237;159;46;67;106
151005;3680;3381;3349;956;257;262;315;90;75;292;728;174;71;68;61
