"pollingarea_id","municipality","district","nom_district","region","pollingarea_name","mun_name","district_name","nom_district_name","region_name","eligible","voted","valid","A","B","C","D","SF","I","K","M","O","Q","V","AE","OE","Alt","other","n_people","age_0_17","age_18_29","age_30_39","age_40_49","age_50_59","age_60_69","age_70_older","men","women","danes","immig","unemployed","retired","church_member","not_church_member","n_households","income_100000_149999","income_150000_199999","income_200000_299999","income_300000_399999","income_400000_499999","income_500000_749999","income_over_750000","housholds_with car"
101001,101,1,1,1,"1. Østerbro","København","1. Østerbro","Københavns Storkreds","Hovedstaden",11022,9742,9594,1665,823,520,135,1148,1046,23,1068,87,67,946,83,1121,848,14,15562,2573,4049,2591,2040,1891,1165,1253,7331,8231,13368,2194,916,1957,6318,9244,7630,238,453,1170,970,898,1545,2356,2988
101002,101,1,1,1,"1. Nord","København","1. Østerbro","Københavns Storkreds","Hovedstaden",6071,5213,5159,878,390,382,81,520,552,14,625,80,42,642,85,482,380,6,8378,1406,1842,1282,1049,994,747,1058,3908,4470,7260,1118,419,1501,3376,5002,4203,122,244,734,563,490,763,1287,1914
101003,101,1,1,1,"1. Syd","København","1. Østerbro","Københavns Storkreds","Hovedstaden",11124,10110,10001,1622,964,515,108,1260,878,18,1064,89,66,874,87,1305,1135,16,15846,3046,3569,2568,2223,2025,1261,1154,7640,8206,13920,1926,900,1826,6471,9375,7227,260,388,1015,811,681,1489,2583,3036
101005,101,1,1,1,"1. Vest","København","1. Østerbro","Københavns Storkreds","Hovedstaden",10900,9057,8904,1789,691,426,153,1072,730,31,881,156,169,693,119,1160,821,13,15854,2462,4203,2859,1811,1662,1285,1572,7648,8206,13104,2750,933,2493,7336,8518,7813,274,596,1465,1005,937,1571,1965,3015
101006,101,1,1,1,"1. Nordvest","København","1. Østerbro","Københavns Storkreds","Hovedstaden",9550,8078,7948,1538,700,441,122,847,761,21,818,122,133,623,113,979,714,16,13487,2251,3500,2326,1635,1500,1036,1239,6527,6960,11598,1889,854,2029,5821,7666,6902,225,422,1301,953,788,1394,1819,2756
101007,101,2,1,1,"2. Sundbyvester","København","2. Sundbyvester","Københavns Storkreds","Hovedstaden",9512,7376,7197,1841,472,227,180,851,440,22,529,185,242,511,191,932,550,24,14265,2668,3007,2113,1909,1735,1293,1540,6970,7295,12100,2165,800,2587,6477,7788,6871,260,567,1497,996,798,1221,1532,2940
101008,101,2,1,1,"2. Nord","København","2. Sundbyvester","Københavns Storkreds","Hovedstaden",13144,10614,10417,2013,799,360,151,1316,778,25,911,161,351,689,182,1654,999,28,18192,2754,5363,3391,2125,1891,1339,1329,8807,9385,15430,2762,1253,2518,8385,9807,9124,419,650,1771,1392,1230,1794,1868,3063
101009,101,2,1,1,"2. Syd","København","2. Sundbyvester","Københavns Storkreds","Hovedstaden",12600,9938,9750,1641,732,513,226,1033,1238,20,1056,106,235,1005,177,995,757,16,19188,3950,6031,4254,2519,1192,687,555,9721,9467,13972,5216,1113,1138,10460,8728,8141,222,275,770,812,892,2097,3073,3109
101010,101,2,1,1,"2. Vest","København","2. Sundbyvester","Københavns Storkreds","Hovedstaden",10582,9338,9212,1491,728,547,116,1025,1067,4,1088,95,64,989,122,1050,814,12,15451,3268,2561,3182,2722,1678,1119,921,7661,7790,13631,1820,845,1538,6417,9034,7070,131,226,716,683,663,1465,3186,3661
101011,101,3,1,1,"3. Indre By","København","3. Indre By","Københavns Storkreds","Hovedstaden",14528,11290,11168,1335,1093,633,132,1126,1331,16,1230,89,144,963,90,1701,1266,19,20283,2575,6220,3778,2769,2300,1329,1312,10914,9369,15625,4658,1033,1989,9981,10302,7515,277,378,981,787,748,1484,2860,2754
101012,101,3,1,1,"3. Nord","København","3. Indre By","Københavns Storkreds","Hovedstaden",6329,5732,5670,815,525,361,53,601,624,10,625,43,27,620,55,721,580,10,9176,1740,1758,1258,1335,1226,814,1045,4431,4745,7929,1247,430,1374,3810,5366,3928,58,161,412,389,397,732,1779,2083
101013,101,3,1,1,"3. Syd","København","3. Indre By","Københavns Storkreds","Hovedstaden",9429,8279,8192,1310,593,283,90,890,596,12,737,68,84,563,96,1531,1318,21,13215,2037,2830,2090,1636,1649,1458,1515,6582,6633,11458,1757,715,2298,5930,7285,6322,250,385,1033,762,624,1182,2086,2673
101014,101,3,1,1,"3. Øst","København","3. Indre By","Københavns Storkreds","Hovedstaden",11689,10193,10041,1409,816,734,126,916,1412,24,1255,90,49,1149,97,1045,904,15,16714,2082,4774,2520,1950,2008,1408,1972,8134,8580,13653,3061,736,2587,7056,9658,7956,280,439,1166,976,793,1497,2805,3462
101016,101,4,1,1,"4. Sundbyøster","København","4. Sundbyøster","Københavns Storkreds","Hovedstaden",11045,9014,8843,1802,634,384,188,995,803,19,924,162,126,717,170,1091,806,22,14558,2288,4161,2992,1765,1298,920,1134,7069,7489,12238,2320,974,1871,6165,8393,7837,219,454,1544,1020,1020,1622,1958,2702
101017,101,4,1,1,"4. Nord","København","4. Sundbyøster","Københavns Storkreds","Hovedstaden",14277,11666,11468,2183,837,419,227,1373,903,26,1008,176,225,836,233,1797,1192,33,20603,2825,6900,4112,2398,2005,1255,1108,10080,10523,16978,3625,1480,2207,9428,11175,10359,523,883,1849,1476,1431,2227,1970,3360
101018,101,4,1,1,"4. Syd","København","4. Sundbyøster","Københavns Storkreds","Hovedstaden",8064,6705,6590,1582,411,267,145,880,478,17,558,136,66,527,161,779,573,10,11281,1889,2847,1993,1630,1256,881,785,5654,5627,9967,1314,740,1382,4273,7008,5703,168,379,938,889,853,1217,1259,2450
101019,101,4,1,1,"4. Øst","København","4. Sundbyøster","Københavns Storkreds","Hovedstaden",9353,7914,7810,1682,604,378,132,942,691,26,846,115,67,729,175,759,658,6,13358,2940,2546,2079,2194,1560,1075,964,6689,6669,11716,1642,668,1639,5380,7978,5844,159,266,776,676,617,1093,2257,3237
101020,101,5,1,1,"5. Nørrebro","København","5. Nørrebro","Københavns Storkreds","Hovedstaden",6295,5254,5159,818,368,105,40,690,195,15,353,41,164,212,60,1271,814,13,9148,1553,2288,1901,1149,798,604,855,4319,4829,7998,1150,747,1438,4455,4693,4700,189,415,1151,615,576,839,915,1275
101021,101,5,1,1,"5. Nord","København","5. Nørrebro","Københavns Storkreds","Hovedstaden",9966,8437,8296,907,804,232,76,1039,544,15,658,64,287,484,64,1843,1266,13,13751,1739,5674,2963,1270,970,661,474,6719,7032,11625,2126,1130,1177,6649,7102,7038,631,824,1360,918,845,1294,1166,1815
101022,101,5,1,1,"5. Syd","København","5. Nørrebro","Københavns Storkreds","Hovedstaden",5860,4935,4857,609,389,134,41,513,238,11,320,43,285,273,38,1219,733,11,8809,1613,2173,1710,1015,971,738,589,4284,4525,7268,1541,649,1143,5165,3644,3847,99,229,591,549,484,854,1041,1275
